date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:41	119/119	---M--	200	added ('OK')	text/plain	date:Tue,%2011%20Jun%202024%2005:59:40%20GMT	http://lp.markaswalet.test/robots.txt		(from )
12:59:43	117685/117685	---MC-	200	added ('OK')	text/html	date:Tue,%2011%20Jun%202024%2005:59:40%20GMT	http://lp.markaswalet.test/parfum-walet-2/	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/parfum-walet-2/index.html	(from )
12:59:43	43139/43139	---M--	200	added ('OK')	text/css	etag:%22a883-61a881af35c7d%22	http://lp.markaswalet.test/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.7.0	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/themes/astra/assets/css/minified/main.min1849.css	(from http://lp.markaswalet.test/parfum-walet-2/)
12:59:45	118945/118945	---M--	200	added ('OK')	text/css	etag:%221d0a1-61a87cf7260e9%22	http://lp.markaswalet.test/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.8	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/plugins/elementor/assets/css/frontend-lite.min3cad.css	(from http://lp.markaswalet.test/parfum-walet-2/)
12:59:47	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-61a87cf9fd064%22	http://lp.markaswalet.test/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://lp.markaswalet.test/parfum-walet-2/)
12:59:47	1107/1107	---M--	200	added ('OK')	text/css	etag:%22453-61a87d3e503b7%22	http://lp.markaswalet.test/wp-content/uploads/elementor/css/post-6.css?ver=1718020538	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/uploads/elementor/css/post-69583.css	(from http://lp.markaswalet.test/parfum-walet-2/)
12:59:47	9475/9475	---M--	200	added ('OK')	text/css	etag:%222503-61a8904fa9e8b%22	http://lp.markaswalet.test/wp-content/uploads/elementor/css/global.css?ver=1718025656	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/uploads/elementor/css/global7b23.css	(from http://lp.markaswalet.test/parfum-walet-2/)
12:59:47	8046/8046	---M--	200	added ('OK')	text/css	etag:%221f6e-61a96f1a7e569%22	http://lp.markaswalet.test/wp-content/uploads/elementor/css/post-61.css?ver=1718085461	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/uploads/elementor/css/post-615c06.css	(from http://lp.markaswalet.test/parfum-walet-2/)
12:59:48	124837/124837	---M--	200	added ('OK')	text/css	etag:%221e7a5-61a8869009c86%22	http://lp.markaswalet.test/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons.css?ver=3.2.0	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/css/ekiticons55a0.css	(from http://lp.markaswalet.test/parfum-walet-2/)
12:59:49	453653/453653	---M--	200	added ('OK')	text/css	etag:%226ec15-61a8869098ce0%22	http://lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=3.2.0	D:/MARKASWALET/httrack/LP%20Parfum%20Walet%202/lp.markaswalet.test/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles55a0.css	(from http://lp.markaswalet.test/parfum-walet-2/)
